id,active,address,created_at,email,insurance_type,name,password,phone,profile_picture,role,updated_at
100000,0,"Synthetic Township 1, Myanmar",2021-12-03 09:57:48,synthetic.admin.000001@example.invalid,,Synthetic Admin 000001,!SYNTHETIC-NO-LOGIN!,+959000000001,,ADMIN,2022-03-22 09:57:48
100001,1,"Synthetic Township 2, Myanmar",2025-01-20 22:26:52,synthetic.agent.000002@example.invalid,HEALTH,Synthetic Agent 000002,!SYNTHETIC-NO-LOGIN!,+959000000002,,AGENT,2025-05-06 22:26:52
100002,1,"Synthetic Township 3, Myanmar",2024-10-10 07:02:30,synthetic.agent.000003@example.invalid,MOTOR,Synthetic Agent 000003,!SYNTHETIC-NO-LOGIN!,+959000000003,,AGENT,2024-11-02 07:02:30
100003,1,"Synthetic Township 4, Myanmar",2025-05-22 14:37:22,synthetic.agent.000004@example.invalid,TRAVEL,Synthetic Agent 000004,!SYNTHETIC-NO-LOGIN!,+959000000004,,AGENT,2025-06-13 14:37:22
100004,1,"Synthetic Township 5, Myanmar",2022-08-20 06:02:18,synthetic.agent.000005@example.invalid,PROPERTY,Synthetic Agent 000005,!SYNTHETIC-NO-LOGIN!,+959000000005,,AGENT,2022-09-23 06:02:18
100005,1,"Synthetic Township 6, Myanmar",2025-06-05 14:44:35,synthetic.agent.000006@example.invalid,PERSONAL_ACCIDENT,Synthetic Agent 000006,!SYNTHETIC-NO-LOGIN!,+959000000006,,AGENT,2025-06-27 14:44:35
100006,1,"Synthetic Township 7, Myanmar",2024-02-20 17:46:43,synthetic.agent.000007@example.invalid,LIFE,Synthetic Agent 000007,!SYNTHETIC-NO-LOGIN!,+959000000007,,AGENT,2024-02-28 17:46:43
100007,1,"Synthetic Township 8, Myanmar",2024-03-20 07:21:45,synthetic.agent.000008@example.invalid,HEALTH,Synthetic Agent 000008,!SYNTHETIC-NO-LOGIN!,+959000000008,,AGENT,2024-05-18 07:21:45
100008,1,"Synthetic Township 9, Myanmar",2023-11-20 04:40:22,synthetic.agent.000009@example.invalid,MOTOR,Synthetic Agent 000009,!SYNTHETIC-NO-LOGIN!,+959000000009,,AGENT,2024-01-01 04:40:22
100009,1,"Synthetic Township 10, Myanmar",2022-05-10 03:34:00,synthetic.agent.000010@example.invalid,TRAVEL,Synthetic Agent 000010,!SYNTHETIC-NO-LOGIN!,+959000000010,,AGENT,2022-08-11 03:34:00
100010,1,"Synthetic Township 11, Myanmar",2025-03-29 18:50:03,synthetic.agent.000011@example.invalid,PROPERTY,Synthetic Agent 000011,!SYNTHETIC-NO-LOGIN!,+959000000011,,AGENT,2025-06-26 18:50:03
100011,1,"Synthetic Township 12, Myanmar",2022-08-12 14:32:04,synthetic.agent.000012@example.invalid,PERSONAL_ACCIDENT,Synthetic Agent 000012,!SYNTHETIC-NO-LOGIN!,+959000000012,,AGENT,2022-09-28 14:32:04
100012,1,"Synthetic Township 13, Myanmar",2024-01-21 10:23:12,synthetic.agent.000013@example.invalid,LIFE,Synthetic Agent 000013,!SYNTHETIC-NO-LOGIN!,+959000000013,,AGENT,2024-03-03 10:23:12
100013,1,"Synthetic Township 14, Myanmar",2026-02-12 11:27:05,synthetic.agent.000014@example.invalid,HEALTH,Synthetic Agent 000014,!SYNTHETIC-NO-LOGIN!,+959000000014,,AGENT,2026-05-29 11:27:05
100014,1,"Synthetic Township 15, Myanmar",2023-02-21 16:33:06,synthetic.agent.000015@example.invalid,MOTOR,Synthetic Agent 000015,!SYNTHETIC-NO-LOGIN!,+959000000015,,AGENT,2023-04-17 16:33:06
100015,1,"Synthetic Township 16, Myanmar",2023-09-12 06:35:23,synthetic.agent.000016@example.invalid,TRAVEL,Synthetic Agent 000016,!SYNTHETIC-NO-LOGIN!,+959000000016,,AGENT,2023-10-16 06:35:23
100016,1,"Synthetic Township 17, Myanmar",2023-11-09 20:22:18,synthetic.agent.000017@example.invalid,PROPERTY,Synthetic Agent 000017,!SYNTHETIC-NO-LOGIN!,+959000000017,,AGENT,2023-12-01 20:22:18
100017,1,"Synthetic Township 18, Myanmar",2024-04-15 23:23:47,synthetic.agent.000018@example.invalid,PERSONAL_ACCIDENT,Synthetic Agent 000018,!SYNTHETIC-NO-LOGIN!,+959000000018,,AGENT,2024-06-17 23:23:47
100018,1,"Synthetic Township 19, Myanmar",2026-07-04 19:51:22,synthetic.agent.000019@example.invalid,LIFE,Synthetic Agent 000019,!SYNTHETIC-NO-LOGIN!,+959000000019,,AGENT,2026-07-27 19:51:22
100019,1,"Synthetic Township 20, Myanmar",2022-07-16 13:50:48,synthetic.agent.000020@example.invalid,HEALTH,Synthetic Agent 000020,!SYNTHETIC-NO-LOGIN!,+959000000020,,AGENT,2022-10-02 13:50:48
100020,1,"Synthetic Township 21, Myanmar",2023-01-30 05:22:19,synthetic.agent.000021@example.invalid,MOTOR,Synthetic Agent 000021,!SYNTHETIC-NO-LOGIN!,+959000000021,,AGENT,2023-03-27 05:22:19
100021,1,"Synthetic Township 22, Myanmar",2024-02-02 20:16:18,synthetic.agent.000022@example.invalid,TRAVEL,Synthetic Agent 000022,!SYNTHETIC-NO-LOGIN!,+959000000022,,AGENT,2024-05-20 20:16:18
100022,1,"Synthetic Township 23, Myanmar",2024-05-08 23:39:53,synthetic.agent.000023@example.invalid,PROPERTY,Synthetic Agent 000023,!SYNTHETIC-NO-LOGIN!,+959000000023,,AGENT,2024-05-21 23:39:53
100023,1,"Synthetic Township 24, Myanmar",2022-04-13 04:31:54,synthetic.agent.000024@example.invalid,PERSONAL_ACCIDENT,Synthetic Agent 000024,!SYNTHETIC-NO-LOGIN!,+959000000024,,AGENT,2022-06-26 04:31:54
100024,1,"Synthetic Township 25, Myanmar",2026-07-23 15:04:00,synthetic.agent.000025@example.invalid,LIFE,Synthetic Agent 000025,!SYNTHETIC-NO-LOGIN!,+959000000025,,AGENT,2026-09-10 15:04:00
100025,1,"Synthetic Township 26, Myanmar",2023-12-02 18:31:03,synthetic.agent.000026@example.invalid,HEALTH,Synthetic Agent 000026,!SYNTHETIC-NO-LOGIN!,+959000000026,,AGENT,2023-12-31 18:31:03
100026,1,"Synthetic Township 27, Myanmar",2026-01-05 03:33:51,synthetic.agent.000027@example.invalid,MOTOR,Synthetic Agent 000027,!SYNTHETIC-NO-LOGIN!,+959000000027,,AGENT,2026-05-05 03:33:51
100027,1,"Synthetic Township 28, Myanmar",2026-02-22 12:45:02,synthetic.agent.000028@example.invalid,TRAVEL,Synthetic Agent 000028,!SYNTHETIC-NO-LOGIN!,+959000000028,,AGENT,2026-06-04 12:45:02
100028,1,"Synthetic Township 29, Myanmar",2023-07-16 14:42:46,synthetic.agent.000029@example.invalid,PROPERTY,Synthetic Agent 000029,!SYNTHETIC-NO-LOGIN!,+959000000029,,AGENT,2023-09-23 14:42:46
100029,1,"Synthetic Township 30, Myanmar",2023-03-22 21:50:48,synthetic.agent.000030@example.invalid,PERSONAL_ACCIDENT,Synthetic Agent 000030,!SYNTHETIC-NO-LOGIN!,+959000000030,,AGENT,2023-07-10 21:50:48
100030,1,"Synthetic Township 31, Myanmar",2022-04-10 07:25:17,synthetic.agent.000031@example.invalid,LIFE,Synthetic Agent 000031,!SYNTHETIC-NO-LOGIN!,+959000000031,,AGENT,2022-07-23 07:25:17
100031,1,"Synthetic Township 32, Myanmar",2026-04-12 14:52:26,synthetic.agent.000032@example.invalid,HEALTH,Synthetic Agent 000032,!SYNTHETIC-NO-LOGIN!,+959000000032,,AGENT,2026-04-13 14:52:26
100032,1,"Synthetic Township 33, Myanmar",2026-05-17 02:59:04,synthetic.agent.000033@example.invalid,MOTOR,Synthetic Agent 000033,!SYNTHETIC-NO-LOGIN!,+959000000033,,AGENT,2026-06-12 02:59:04
100033,1,"Synthetic Township 34, Myanmar",2024-12-19 07:27:48,synthetic.agent.000034@example.invalid,TRAVEL,Synthetic Agent 000034,!SYNTHETIC-NO-LOGIN!,+959000000034,,AGENT,2025-03-27 07:27:48
100034,1,"Synthetic Township 35, Myanmar",2023-04-28 20:33:10,synthetic.agent.000035@example.invalid,PROPERTY,Synthetic Agent 000035,!SYNTHETIC-NO-LOGIN!,+959000000035,,AGENT,2023-05-31 20:33:10
100035,1,"Synthetic Township 36, Myanmar",2022-06-23 15:20:57,synthetic.agent.000036@example.invalid,PERSONAL_ACCIDENT,Synthetic Agent 000036,!SYNTHETIC-NO-LOGIN!,+959000000036,,AGENT,2022-08-06 15:20:57
100036,1,"Synthetic Township 37, Myanmar",2022-07-11 18:37:26,synthetic.agent.000037@example.invalid,LIFE,Synthetic Agent 000037,!SYNTHETIC-NO-LOGIN!,+959000000037,,AGENT,2022-10-10 18:37:26
100037,0,"Synthetic Township 38, Myanmar",2023-11-25 09:38:49,synthetic.agent.000038@example.invalid,HEALTH,Synthetic Agent 000038,!SYNTHETIC-NO-LOGIN!,+959000000038,,AGENT,2024-02-14 09:38:49
100038,1,"Synthetic Township 39, Myanmar",2022-05-01 02:57:06,synthetic.agent.000039@example.invalid,MOTOR,Synthetic Agent 000039,!SYNTHETIC-NO-LOGIN!,+959000000039,,AGENT,2022-07-01 02:57:06
100039,1,"Synthetic Township 40, Myanmar",2022-12-10 11:20:08,synthetic.agent.000040@example.invalid,TRAVEL,Synthetic Agent 000040,!SYNTHETIC-NO-LOGIN!,+959000000040,,AGENT,2023-02-21 11:20:08
100040,1,"Synthetic Township 41, Myanmar",2025-11-30 02:09:59,synthetic.agent.000041@example.invalid,PROPERTY,Synthetic Agent 000041,!SYNTHETIC-NO-LOGIN!,+959000000041,,AGENT,2026-03-07 02:09:59
100041,1,"Synthetic Township 42, Myanmar",2023-02-10 20:46:48,synthetic.agent.000042@example.invalid,PERSONAL_ACCIDENT,Synthetic Agent 000042,!SYNTHETIC-NO-LOGIN!,+959000000042,,AGENT,2023-04-10 20:46:48
100042,1,"Synthetic Township 43, Myanmar",2022-04-10 17:24:39,synthetic.agent.000043@example.invalid,LIFE,Synthetic Agent 000043,!SYNTHETIC-NO-LOGIN!,+959000000043,,AGENT,2022-07-07 17:24:39
100043,1,"Synthetic Township 44, Myanmar",2026-04-16 21:07:14,synthetic.agent.000044@example.invalid,HEALTH,Synthetic Agent 000044,!SYNTHETIC-NO-LOGIN!,+959000000044,,AGENT,2026-04-18 21:07:14
100044,1,"Synthetic Township 45, Myanmar",2022-05-26 19:12:43,synthetic.agent.000045@example.invalid,MOTOR,Synthetic Agent 000045,!SYNTHETIC-NO-LOGIN!,+959000000045,,AGENT,2022-06-19 19:12:43
100045,1,"Synthetic Township 46, Myanmar",2024-01-25 11:10:59,synthetic.agent.000046@example.invalid,TRAVEL,Synthetic Agent 000046,!SYNTHETIC-NO-LOGIN!,+959000000046,,AGENT,2024-04-06 11:10:59
100046,1,"Synthetic Township 47, Myanmar",2023-01-20 21:21:31,synthetic.agent.000047@example.invalid,PROPERTY,Synthetic Agent 000047,!SYNTHETIC-NO-LOGIN!,+959000000047,,AGENT,2023-05-06 21:21:31
100047,1,"Synthetic Township 48, Myanmar",2022-06-24 11:27:32,synthetic.agent.000048@example.invalid,PERSONAL_ACCIDENT,Synthetic Agent 000048,!SYNTHETIC-NO-LOGIN!,+959000000048,,AGENT,2022-09-02 11:27:32
100048,1,"Synthetic Township 49, Myanmar",2025-05-02 21:41:19,synthetic.agent.000049@example.invalid,LIFE,Synthetic Agent 000049,!SYNTHETIC-NO-LOGIN!,+959000000049,,AGENT,2025-06-27 21:41:19
100049,1,"Synthetic Township 50, Myanmar",2024-10-15 16:06:47,synthetic.agent.000050@example.invalid,HEALTH,Synthetic Agent 000050,!SYNTHETIC-NO-LOGIN!,+959000000050,,AGENT,2025-01-29 16:06:47
100050,1,"Synthetic Township 51, Myanmar",2025-01-27 22:18:04,synthetic.agent.000051@example.invalid,MOTOR,Synthetic Agent 000051,!SYNTHETIC-NO-LOGIN!,+959000000051,,AGENT,2025-02-01 22:18:04
100051,1,"Synthetic Township 52, Myanmar",2023-05-02 01:43:08,synthetic.agent.000052@example.invalid,TRAVEL,Synthetic Agent 000052,!SYNTHETIC-NO-LOGIN!,+959000000052,,AGENT,2023-07-28 01:43:08
100052,1,"Synthetic Township 53, Myanmar",2024-06-28 03:02:36,synthetic.agent.000053@example.invalid,PROPERTY,Synthetic Agent 000053,!SYNTHETIC-NO-LOGIN!,+959000000053,,AGENT,2024-10-04 03:02:36
100053,1,"Synthetic Township 54, Myanmar",2022-01-09 21:31:16,synthetic.agent.000054@example.invalid,PERSONAL_ACCIDENT,Synthetic Agent 000054,!SYNTHETIC-NO-LOGIN!,+959000000054,,AGENT,2022-03-08 21:31:16
100054,1,"Synthetic Township 55, Myanmar",2024-02-21 09:57:47,synthetic.agent.000055@example.invalid,LIFE,Synthetic Agent 000055,!SYNTHETIC-NO-LOGIN!,+959000000055,,AGENT,2024-04-04 09:57:47
100055,1,"Synthetic Township 56, Myanmar",2025-12-24 19:49:07,synthetic.agent.000056@example.invalid,HEALTH,Synthetic Agent 000056,!SYNTHETIC-NO-LOGIN!,+959000000056,,AGENT,2026-01-01 19:49:07
100056,1,"Synthetic Township 57, Myanmar",2024-11-03 00:13:43,synthetic.agent.000057@example.invalid,MOTOR,Synthetic Agent 000057,!SYNTHETIC-NO-LOGIN!,+959000000057,,AGENT,2024-12-05 00:13:43
100057,1,"Synthetic Township 58, Myanmar",2024-04-25 21:46:33,synthetic.agent.000058@example.invalid,TRAVEL,Synthetic Agent 000058,!SYNTHETIC-NO-LOGIN!,+959000000058,,AGENT,2024-05-18 21:46:33
100058,1,"Synthetic Township 59, Myanmar",2025-01-21 02:23:57,synthetic.agent.000059@example.invalid,PROPERTY,Synthetic Agent 000059,!SYNTHETIC-NO-LOGIN!,+959000000059,,AGENT,2025-02-16 02:23:57
100059,1,"Synthetic Township 60, Myanmar",2026-02-17 02:38:30,synthetic.agent.000060@example.invalid,PERSONAL_ACCIDENT,Synthetic Agent 000060,!SYNTHETIC-NO-LOGIN!,+959000000060,,AGENT,2026-04-23 02:38:30
100060,1,"Synthetic Township 1, Myanmar",2024-05-10 18:36:29,synthetic.agent.000061@example.invalid,LIFE,Synthetic Agent 000061,!SYNTHETIC-NO-LOGIN!,+959000000061,,AGENT,2024-07-28 18:36:29
100061,1,"Synthetic Township 2, Myanmar",2023-07-18 21:33:43,synthetic.agent.000062@example.invalid,HEALTH,Synthetic Agent 000062,!SYNTHETIC-NO-LOGIN!,+959000000062,,AGENT,2023-10-29 21:33:43
